Model,Dimension,Severity_Percent,Perturbation_Seed,Clean_Accuracy,Clean_Macro_F1,Perturbed_Accuracy,Perturbed_Macro_F1,Delta_F1,Realized_Rate,Changed_Instance_Rate
AraBERTv2,Textual Accuracy,10,42,0.719,0.36594944798961,0.7156666666666667,0.36996003726015253,-0.004010589270542542,0.0996660088052224,0.8226666666666667
AraBERTv2,Textual Accuracy,10,43,0.719,0.36594944798961,0.7136666666666667,0.36712814805607763,-0.0011787000664676417,0.10027326552299985,0.8256666666666667
AraBERTv2,Textual Accuracy,10,44,0.719,0.36594944798961,0.7186666666666667,0.3745794327276125,-0.008629984738002527,0.09913465917716714,0.8233333333333334
AraBERTv2,Textual Accuracy,10,45,0.719,0.36594944798961,0.7163333333333334,0.36811935842058585,-0.0021699104309758632,0.1006021962451293,0.8293333333333334
AraBERTv2,Textual Accuracy,10,46,0.719,0.36594944798961,0.7126666666666667,0.3664248600527916,-0.000475412063181635,0.09959010171550023,0.8166666666666667
AraBERTv2,Textual Accuracy,20,42,0.719,0.36594944798961,0.7123333333333334,0.36570329439839455,0.0002461535912154367,0.20006578614442588,0.923
AraBERTv2,Textual Accuracy,20,43,0.719,0.36594944798961,0.7173333333333334,0.3845378939870726,-0.01858844599746262,0.20014169323414807,0.9266666666666666
AraBERTv2,Textual Accuracy,20,44,0.719,0.36594944798961,0.7123333333333334,0.3719864079229125,-0.006036959933302499,0.2000910885076666,0.9226666666666666
AraBERTv2,Textual Accuracy,20,45,0.719,0.36594944798961,0.7203333333333334,0.3783399698808103,-0.012390521891200323,0.20021760032387026,0.9266666666666666
AraBERTv2,Textual Accuracy,20,46,0.719,0.36594944798961,0.7156666666666667,0.3777674448415056,-0.011817996851895607,0.19943322706340771,0.918
AraBERTv2,Textual Accuracy,30,42,0.719,0.36594944798961,0.7173333333333334,0.370307929139745,-0.004358481150134985,0.30046556348362935,0.961
AraBERTv2,Textual Accuracy,30,43,0.719,0.36594944798961,0.7173333333333334,0.3760391772836914,-0.010089729294081418,0.30013663276149993,0.9563333333333334
AraBERTv2,Textual Accuracy,30,44,0.719,0.36594944798961,0.7143333333333334,0.36908246903357145,-0.003133021043961459,0.3004149587571479,0.9586666666666667
AraBERTv2,Textual Accuracy,30,45,0.719,0.36594944798961,0.719,0.38464721881005604,-0.018697770820446047,0.2992763524113152,0.9546666666666667
AraBERTv2,Textual Accuracy,30,46,0.719,0.36594944798961,0.7126666666666667,0.3670585038346134,-0.001109055845003426,0.3002884469409443,0.9566666666666667
AraBERTv2,Completeness,10,42,0.719,0.36594944798961,0.721,0.37598928221775485,-0.010039834228144862,0.10071999367038531,0.8826666666666667
AraBERTv2,Completeness,10,43,0.719,0.36594944798961,0.7153333333333334,0.36832077284403886,-0.002371324854428869,0.10032439275259118,0.8773333333333333
AraBERTv2,Completeness,10,44,0.719,0.36594944798961,0.7163333333333334,0.354549400765619,0.011400047223990961,0.09949363082522351,0.867
AraBERTv2,Completeness,10,45,0.719,0.36594944798961,0.719,0.37043057812286906,-0.00448113013325907,0.09929583036632644,0.8736666666666667
AraBERTv2,Completeness,10,46,0.719,0.36594944798961,0.7156666666666667,0.359443842845541,0.006505605144069004,0.10010681224780442,0.87
AraBERTv2,Completeness,20,42,0.719,0.36594944798961,0.717,0.370730168296306,-0.004780720306696018,0.19975868344014558,0.9513333333333334
AraBERTv2,Completeness,20,43,0.719,0.36594944798961,0.7173333333333334,0.36139366946874407,0.004555778520865916,0.20021362449560884,0.9606666666666667
AraBERTv2,Completeness,20,44,0.719,0.36594944798961,0.722,0.3587382499791764,0.007211198010433573,0.2001147242661603,0.9556666666666667
AraBERTv2,Completeness,20,45,0.719,0.36594944798961,0.7136666666666667,0.35225446442784475,0.01369498356176524,0.19960044307302793,0.95
AraBERTv2,Completeness,20,46,0.719,0.36594944798961,0.7246666666666667,0.37117706024192076,-0.005227612252310776,0.20031252472505737,0.9526666666666667
AraBERTv2,Completeness,30,42,0.719,0.36594944798961,0.7173333333333334,0.3598750732862479,0.006074374703362084,0.2997665954585015,0.9763333333333334
AraBERTv2,Completeness,30,43,0.719,0.36594944798961,0.7236666666666667,0.36712534909549754,-0.0011759011058875557,0.3001424163304059,0.9796666666666667
AraBERTv2,Completeness,30,44,0.719,0.36594944798961,0.7193333333333334,0.35118335662381756,0.014766091365792433,0.30002373605506766,0.9783333333333334
AraBERTv2,Completeness,30,45,0.719,0.36594944798961,0.7213333333333334,0.35920006725373865,0.006749380735871335,0.30035999683519266,0.9713333333333334
AraBERTv2,Completeness,30,46,0.719,0.36594944798961,0.7236666666666667,0.3639082815941466,0.0020411663954633674,0.29968747527494266,0.975
AraBERTv2,Consistency,10,42,0.719,0.36594944798961,0.7166666666666667,0.3655465350174814,0.00040291297212857735,0.10024948171053094,0.887
AraBERTv2,Consistency,10,43,0.719,0.36594944798961,0.7213333333333334,0.3727367122028368,-0.006787264213226785,0.09937102498330933,0.885
AraBERTv2,Consistency,10,44,0.719,0.36594944798961,0.7263333333333334,0.3826188140845729,-0.01666936609496289,0.10061843353596402,0.8946666666666667
AraBERTv2,Consistency,10,45,0.719,0.36594944798961,0.7216666666666667,0.3727057859715147,-0.006756337981904725,0.09988052988509787,0.8856666666666667
AraBERTv2,Consistency,10,46,0.719,0.36594944798961,0.7223333333333334,0.38016681068778035,-0.014217362698170366,0.10005622123054218,0.89
AraBERTv2,Consistency,20,42,0.719,0.36594944798961,0.7263333333333334,0.36415845169081373,0.0017909962987962547,0.20028813380652868,0.957
AraBERTv2,Consistency,20,43,0.719,0.36594944798961,0.7223333333333334,0.37149243147777183,-0.005542983488161846,0.2001300115956288,0.9586666666666667
AraBERTv2,Consistency,20,44,0.719,0.36594944798961,0.7176666666666667,0.3647529677908926,0.0011964801987173757,0.20005973505745106,0.9516666666666667
AraBERTv2,Consistency,20,45,0.719,0.36594944798961,0.721,0.37061892359032633,-0.004669475600716344,0.19998945851927333,0.953
AraBERTv2,Consistency,20,46,0.719,0.36594944798961,0.7216666666666667,0.36895721586175767,-0.003007767872147682,0.19923398573386275,0.9503333333333334
AraBERTv2,Consistency,30,42,0.719,0.36594944798961,0.729,0.3704529311386608,-0.004503483149050802,0.29995783407709337,0.9753333333333334
AraBERTv2,Consistency,30,43,0.719,0.36594944798961,0.7256666666666667,0.36816949192308335,-0.002220043933473359,0.30001054148072664,0.972
AraBERTv2,Consistency,30,44,0.719,0.36594944798961,0.7186666666666667,0.354284535012982,0.011664912976627972,0.3007484451315928,0.9743333333333334
AraBERTv2,Consistency,30,45,0.719,0.36594944798961,0.7293333333333333,0.371920890142422,-0.005971442152812034,0.29995783407709337,0.972
AraBERTv2,Consistency,30,46,0.719,0.36594944798961,0.722,0.35947564045721586,0.006473807532394127,0.29995783407709337,0.9736666666666667
AraBERTv2,Validity,10,42,0.719,0.36594944798961,0.7253333333333334,0.39587795630375994,-0.02992850831414995,0.10077933380805444,0.8813333333333333
AraBERTv2,Validity,10,43,0.719,0.36594944798961,0.7226666666666667,0.37262016046782936,-0.006670712478219376,0.10032439275259118,0.8776666666666667
AraBERTv2,Validity,10,44,0.719,0.36594944798961,0.725,0.3895269366506954,-0.02357748866108539,0.09998813197246617,0.8783333333333333
AraBERTv2,Validity,10,45,0.719,0.36594944798961,0.724,0.3811791919976736,-0.015229744008063595,0.09992879183479705,0.875
AraBERTv2,Validity,10,46,0.719,0.36594944798961,0.7296666666666667,0.3841135727605277,-0.018164124770917722,0.10056175330326766,0.8726666666666667
AraBERTv2,Validity,20,42,0.719,0.36594944798961,0.73,0.3880701973807703,-0.02212074939116032,0.1998180235778147,0.9583333333333334
AraBERTv2,Validity,20,43,0.719,0.36594944798961,0.725,0.38879845850810835,-0.02284901051849836,0.2001147242661603,0.9556666666666667
