Model,Dimension,Severity_Percent,Clean_Accuracy,Clean_Macro_F1,Accuracy_Mean,Accuracy_SD,Macro_F1_Mean,Macro_F1_SD,Delta_F1_Mean,Delta_F1_SD,Realized_Rate_Mean,Changed_Instance_Rate_Mean,N_Runs
AraBERTv2,Completeness,10,71.89999999999999,36.594944798961,71.74666666666667,0.2444949442785583,36.57467753591646,0.8639742099582121,0.020267263044543293,0.8639742099582117,9.998813197246617,87.41333333333333,5
AraBERTv2,Completeness,20,71.89999999999999,36.594944798961,71.89333333333335,0.43678115547465796,36.285872248279844,0.810446428138485,0.3090725506811587,0.8104464281384847,20.0,95.40666666666667,5
AraBERTv2,Completeness,30,71.89999999999999,36.594944798961,72.10666666666667,0.2762848771346925,36.02584255706896,0.6002083916837833,0.5691022418920333,0.6002083916837831,29.99960439908221,97.61333333333333,5
AraBERTv2,Consistency,10,71.89999999999999,36.594944798961,72.16666666666667,0.3439961240091693,37.47549315928372,0.6785938733047405,-0.8805483603227239,0.6785938733047417,10.003513826908888,88.84666666666668,5
AraBERTv2,Consistency,20,71.89999999999999,36.594944798961,72.18,0.3105550586360583,36.79959980823124,0.3364250737793137,-0.20465500927024485,0.33642507377931335,19.994026494254893,95.41333333333334,5
AraBERTv2,Consistency,30,71.89999999999999,36.594944798961,72.49333333333333,0.45910541031203,36.48606977348729,0.7630884124030985,0.10887502547371809,0.7630884124030977,30.012649776871992,97.34666666666666,5
AraBERTv2,Textual Accuracy,10,71.89999999999999,36.594944798961,71.54,0.23499408976019334,36.924236730344404,0.3266065545614803,-0.3292919313834042,0.32660655456148047,9.985324629320377,82.35333333333334,5
AraBERTv2,Textual Accuracy,20,71.89999999999999,36.594944798961,71.56,0.34189017079887957,37.56670022061391,0.7125159366624131,-0.9717554216529123,0.7125159366624132,19.998987905470372,92.34,5
AraBERTv2,Textual Accuracy,30,71.89999999999999,36.594944798961,71.61333333333333,0.2566883107757133,37.34270596203355,0.7104190243217169,-0.7477611630725467,0.7104190243217169,30.011639087090735,95.74666666666667,5
AraBERTv2,Understandability,10,71.89999999999999,36.594944798961,71.62666666666667,0.13824294235551743,36.94574102747716,0.34318888337203607,-0.3507962285161659,0.34318888337203796,9.994461587150882,71.09333333333335,5
AraBERTv2,Understandability,20,71.89999999999999,36.594944798961,71.71333333333332,0.19522067285794886,37.67644122656958,0.30606404240779234,-1.0814964276085781,0.3060640424077912,19.99723079357544,87.45333333333333,5
AraBERTv2,Understandability,30,71.89999999999999,36.594944798961,71.14666666666668,0.3096593109998318,37.171011931303646,0.47599335929945413,-0.5760671323426514,0.47599335929945485,29.950549885275734,92.59333333333333,5
AraBERTv2,Validity,10,71.89999999999999,36.594944798961,72.53333333333333,0.26352313834736824,38.46635636360972,0.8759307842731548,-1.8714115646487208,0.8759307842731552,10.03164807342353,87.7,5
AraBERTv2,Validity,20,71.89999999999999,36.594944798961,72.76,0.22779132751026585,38.69657729395627,0.26079522607362954,-2.1016324949952736,0.26079522607362926,19.966373921987497,95.5,5
AraBERTv2,Validity,30,71.89999999999999,36.594944798961,73.29333333333334,0.17224014243684943,38.84536496466595,0.3649207495687396,-2.250420165704948,0.3649207495687395,30.010681224780445,97.82,5
CAMeLBERT-Mix,Completeness,10,72.8,35.23508000686687,72.34,0.4342298418528584,35.5065883321367,0.44934992984078037,-0.2715083252698314,0.44934992984077954,9.998813197246617,87.41333333333333,5
CAMeLBERT-Mix,Completeness,20,72.8,35.23508000686687,71.98,0.2566883107757151,34.97674502957852,0.974007411997733,0.25833497728835475,0.9740074119977337,20.0,95.40666666666667,5
CAMeLBERT-Mix,Completeness,30,72.8,35.23508000686687,71.56666666666666,0.42491829279940296,34.049388805186084,0.8352234599088367,1.1856912016807808,0.8352234599088371,29.99960439908221,97.61333333333333,5
CAMeLBERT-Mix,Consistency,10,72.8,35.23508000686687,72.48666666666666,0.23285665595430588,35.389724272905916,0.6218437274307458,-0.15464426603904458,0.6218437274307492,10.003513826908888,88.84666666666668,5
CAMeLBERT-Mix,Consistency,20,72.8,35.23508000686687,72.16,0.4051062960645156,34.922629067776576,0.7464513291296596,0.31245093909029853,0.7464513291296604,19.994026494254893,95.41333333333334,5
CAMeLBERT-Mix,Consistency,30,72.8,35.23508000686687,71.94666666666667,0.2902106514623828,33.643485545984504,0.9763401230977992,1.5915944608823653,0.9763401230977992,30.012649776871992,97.34666666666666,5
CAMeLBERT-Mix,Textual Accuracy,10,72.8,35.23508000686687,72.20666666666666,0.18012341448141211,35.26937859149705,0.4409525291254168,-0.03429858463018243,0.44095252912541805,9.985324629320377,82.35333333333334,5
CAMeLBERT-Mix,Textual Accuracy,20,72.8,35.23508000686687,72.03333333333333,0.23921166824012122,35.32077896419337,0.6406201724315076,-0.0856989573264999,0.6406201724315078,19.998987905470372,92.34,5
CAMeLBERT-Mix,Textual Accuracy,30,72.8,35.23508000686687,71.72,0.5145656204778772,35.32762463629129,0.860170630271229,-0.0925446294244181,0.860170630271229,30.011639087090735,95.74666666666667,5
CAMeLBERT-Mix,Understandability,10,72.8,35.23508000686687,72.25333333333333,0.23874672772626443,35.299343605276256,0.7127641612753707,-0.06426359840938867,0.7127641612753699,9.994461587150882,71.09333333333335,5
CAMeLBERT-Mix,Understandability,20,72.8,35.23508000686687,72.02666666666666,0.28809720581776177,35.64167475032005,0.6158234635089729,-0.40659474345318136,0.615823463508973,19.99723079357544,87.45333333333333,5
CAMeLBERT-Mix,Understandability,30,72.8,35.23508000686687,71.71333333333332,0.22558565754251356,35.47689562939759,0.9453371211506618,-0.24181562253071887,0.9453371211506615,29.950549885275734,92.59333333333333,5
CAMeLBERT-Mix,Validity,10,72.8,35.23508000686687,72.70666666666668,0.28126697479638263,35.991271137619826,0.834188903625735,-0.7561911307529634,0.8341889036257356,10.03164807342353,87.7,5
CAMeLBERT-Mix,Validity,20,72.8,35.23508000686687,72.36,0.28126697479638824,35.89075489557373,0.24474323154305447,-0.6556748887068553,0.24474323154305383,19.966373921987497,95.5,5
CAMeLBERT-Mix,Validity,30,72.8,35.23508000686687,72.32666666666667,0.1876758434701192,35.89478846528216,0.8492800154825606,-0.659708458415289,0.8492800154825607,30.010681224780445,97.82,5
