Model,Dimension,Severity_Percent,Clean_Macro_F1,Macro-F1,Delta-F1,Realized Severity
AraBERTv2,Completeness,10,36.594944798961,36.57 ± 0.86,0.02 ± 0.86,10.00%
AraBERTv2,Completeness,20,36.594944798961,36.29 ± 0.81,0.31 ± 0.81,20.00%
AraBERTv2,Completeness,30,36.594944798961,36.03 ± 0.60,0.57 ± 0.60,30.00%
AraBERTv2,Consistency,10,36.594944798961,37.48 ± 0.68,-0.88 ± 0.68,10.00%
AraBERTv2,Consistency,20,36.594944798961,36.80 ± 0.34,-0.20 ± 0.34,19.99%
AraBERTv2,Consistency,30,36.594944798961,36.49 ± 0.76,0.11 ± 0.76,30.01%
AraBERTv2,Textual Accuracy,10,36.594944798961,36.92 ± 0.33,-0.33 ± 0.33,9.99%
AraBERTv2,Textual Accuracy,20,36.594944798961,37.57 ± 0.71,-0.97 ± 0.71,20.00%
AraBERTv2,Textual Accuracy,30,36.594944798961,37.34 ± 0.71,-0.75 ± 0.71,30.01%
AraBERTv2,Understandability,10,36.594944798961,36.95 ± 0.34,-0.35 ± 0.34,9.99%
AraBERTv2,Understandability,20,36.594944798961,37.68 ± 0.31,-1.08 ± 0.31,20.00%
AraBERTv2,Understandability,30,36.594944798961,37.17 ± 0.48,-0.58 ± 0.48,29.95%
AraBERTv2,Validity,10,36.594944798961,38.47 ± 0.88,-1.87 ± 0.88,10.03%
AraBERTv2,Validity,20,36.594944798961,38.70 ± 0.26,-2.10 ± 0.26,19.97%
AraBERTv2,Validity,30,36.594944798961,38.85 ± 0.36,-2.25 ± 0.36,30.01%
CAMeLBERT-Mix,Completeness,10,35.23508000686687,35.51 ± 0.45,-0.27 ± 0.45,10.00%
CAMeLBERT-Mix,Completeness,20,35.23508000686687,34.98 ± 0.97,0.26 ± 0.97,20.00%
CAMeLBERT-Mix,Completeness,30,35.23508000686687,34.05 ± 0.84,1.19 ± 0.84,30.00%
CAMeLBERT-Mix,Consistency,10,35.23508000686687,35.39 ± 0.62,-0.15 ± 0.62,10.00%
CAMeLBERT-Mix,Consistency,20,35.23508000686687,34.92 ± 0.75,0.31 ± 0.75,19.99%
CAMeLBERT-Mix,Consistency,30,35.23508000686687,33.64 ± 0.98,1.59 ± 0.98,30.01%
CAMeLBERT-Mix,Textual Accuracy,10,35.23508000686687,35.27 ± 0.44,-0.03 ± 0.44,9.99%
CAMeLBERT-Mix,Textual Accuracy,20,35.23508000686687,35.32 ± 0.64,-0.09 ± 0.64,20.00%
CAMeLBERT-Mix,Textual Accuracy,30,35.23508000686687,35.33 ± 0.86,-0.09 ± 0.86,30.01%
CAMeLBERT-Mix,Understandability,10,35.23508000686687,35.30 ± 0.71,-0.06 ± 0.71,9.99%
CAMeLBERT-Mix,Understandability,20,35.23508000686687,35.64 ± 0.62,-0.41 ± 0.62,20.00%
CAMeLBERT-Mix,Understandability,30,35.23508000686687,35.48 ± 0.95,-0.24 ± 0.95,29.95%
CAMeLBERT-Mix,Validity,10,35.23508000686687,35.99 ± 0.83,-0.76 ± 0.83,10.03%
CAMeLBERT-Mix,Validity,20,35.23508000686687,35.89 ± 0.24,-0.66 ± 0.24,19.97%
CAMeLBERT-Mix,Validity,30,35.23508000686687,35.89 ± 0.85,-0.66 ± 0.85,30.01%
