Dimension,Severity,Mean_Delta_F1
Completeness,10,2.639017925055297
Completeness,20,5.602118187336224
Completeness,30,9.191152684623692
Consistency,10,3.921792404589848
Consistency,20,7.706439720936158
Consistency,30,11.391351357903904
Textual Accuracy,10,2.984780194782881
Textual Accuracy,20,6.060612815795039
Textual Accuracy,30,9.397071414660575
Understandability,10,0.6506721172044527
Understandability,20,1.3580688044015343
Understandability,30,1.9513219517847347
Validity,10,2.75684869310591
Validity,20,4.6663424685707255
Validity,30,6.304525838877318
