Model,Dimension,Severity,Severity_Percent,Perturbation_Seed,Clean_Accuracy,Clean_Macro_F1,Clean_Sarcastic_F1,Perturbed_Accuracy,Perturbed_Macro_F1,Perturbed_Sarcastic_F1,Delta_F1,Realized_Rate,Changed_Instance_Rate
AraBERTv2,Textual Accuracy,0.1,10,42,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7846666666666666,0.7156488224809391,0.5755584756898817,-0.0017645842604177009,0.0996660088052224,0.8226666666666667
AraBERTv2,Textual Accuracy,0.1,10,43,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7826666666666666,0.7144877331902464,0.5749674054758801,-0.0006034949697250047,0.10027326552299985,0.8256666666666667
AraBERTv2,Textual Accuracy,0.1,10,44,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7816666666666666,0.7135414426811004,0.5738451528952505,0.0003427955394209592,0.09913465917716714,0.8233333333333334
AraBERTv2,Textual Accuracy,0.1,10,45,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7833333333333333,0.7136395676691729,0.5723684210526315,0.00024467055134846927,0.1006021962451293,0.8293333333333334
AraBERTv2,Textual Accuracy,0.1,10,46,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.789,0.7192894282683971,0.5794019933554817,-0.005405190047875763,0.09959010171550023,0.8166666666666667
AraBERTv2,Textual Accuracy,0.2,20,42,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7773333333333333,0.7123386067427601,0.5756035578144854,0.0015456314777613223,0.20006578614442588,0.923
AraBERTv2,Textual Accuracy,0.2,20,43,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7846666666666666,0.7194997194997195,0.5842985842985843,-0.005615481279198087,0.20014169323414807,0.9266666666666666
AraBERTv2,Textual Accuracy,0.2,20,44,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.777,0.7134261763983967,0.5784499054820416,0.00045806182212471125,0.2000910885076666,0.9226666666666666
AraBERTv2,Textual Accuracy,0.2,20,45,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.78,0.71555059062041,0.5801526717557252,-0.0016663523998886598,0.20021760032387026,0.9266666666666666
AraBERTv2,Textual Accuracy,0.2,20,46,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7783333333333333,0.7135131743013132,0.5772409408773045,0.00037106391920815884,0.19943322706340771,0.918
AraBERTv2,Textual Accuracy,0.3,30,42,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7803333333333333,0.7190643606923721,0.5878674171357098,-0.005180122471850734,0.30046556348362935,0.961
AraBERTv2,Textual Accuracy,0.3,30,43,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7723333333333333,0.7064789086688139,0.5674477517416087,0.0074053295517074735,0.30013663276149993,0.9563333333333334
AraBERTv2,Textual Accuracy,0.3,30,44,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7716666666666666,0.7056194032769216,0.5661811272957568,0.008264834943599753,0.3004149587571479,0.9586666666666667
AraBERTv2,Textual Accuracy,0.3,30,45,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7726666666666666,0.7105222201785537,0.5763975155279503,0.0033620180419676737,0.2992763524113152,0.9546666666666667
AraBERTv2,Textual Accuracy,0.3,30,46,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7716666666666666,0.7048970291675181,0.5645263827082009,0.00898720905300332,0.3002884469409443,0.9566666666666667
AraBERTv2,Completeness,0.1,10,42,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7873333333333333,0.7090683133136664,0.5581717451523546,0.004815924906855007,0.10071999367038531,0.8826666666666667
AraBERTv2,Completeness,0.1,10,43,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7893333333333333,0.7144881024662445,0.5683060109289617,-0.000603864245723118,0.10032439275259118,0.8773333333333333
AraBERTv2,Completeness,0.1,10,44,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.782,0.7028936522819949,0.5495867768595041,0.010990585938526531,0.09949363082522351,0.867
AraBERTv2,Completeness,0.1,10,45,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7883333333333333,0.7121987396873104,0.5641729581331503,0.0016854985332109829,0.09929583036632644,0.8736666666666667
AraBERTv2,Completeness,0.1,10,46,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7813333333333333,0.700007133976692,0.5438108484005564,0.013877104243829375,0.10010681224780442,0.87
AraBERTv2,Completeness,0.2,20,42,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7823333333333333,0.6928908222954051,0.5271542360608255,0.020993415925116277,0.19975868344014558,0.9513333333333334
AraBERTv2,Completeness,0.2,20,43,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.783,0.6992659965313189,0.5405786873676782,0.01461824168920245,0.20021362449560884,0.9606666666666667
AraBERTv2,Completeness,0.2,20,44,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.779,0.6916083515993494,0.5274411974340698,0.02227588662117197,0.2001147242661603,0.9556666666666667
AraBERTv2,Completeness,0.2,20,45,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7783333333333333,0.6927985986072613,0.5306986591390261,0.021085639613260043,0.19960044307302793,0.95
AraBERTv2,Completeness,0.2,20,46,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.789,0.7055627248301481,0.5488239486813971,0.008321513390373236,0.20031252472505737,0.9526666666666667
AraBERTv2,Completeness,0.3,30,42,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7773333333333333,0.6817665576669487,0.5073746312684366,0.03211768055357267,0.2997665954585015,0.9763333333333334
AraBERTv2,Completeness,0.3,30,43,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7706666666666667,0.675936189574817,0.5007256894049347,0.037948048645704335,0.3001424163304059,0.9796666666666667
AraBERTv2,Completeness,0.3,30,44,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7773333333333333,0.6850356079504305,0.5145348837209303,0.02884863027009088,0.30002373605506766,0.9783333333333334
AraBERTv2,Completeness,0.3,30,45,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7793333333333333,0.6849537329334074,0.5125184094256259,0.02893050528711394,0.30035999683519266,0.9713333333333334
AraBERTv2,Completeness,0.3,30,46,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7826666666666666,0.6935166550821394,0.5282199710564399,0.02036758313838194,0.29968747527494266,0.975
AraBERTv2,Consistency,0.1,10,42,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7843333333333333,0.7110265050181788,0.5654801880456682,0.002857733202342616,0.10024948171053094,0.887
AraBERTv2,Consistency,0.1,10,43,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7823333333333333,0.7064893716640135,0.5572881355932203,0.007394866556507895,0.09937102498330933,0.885
AraBERTv2,Consistency,0.1,10,44,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7783333333333333,0.7027193800588929,0.5527908540685945,0.011164858161628488,0.10061843353596402,0.8946666666666667
AraBERTv2,Consistency,0.1,10,45,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7876666666666666,0.7126277329125157,0.5657805044308112,0.0012565053080056954,0.09988052988509787,0.8856666666666667
AraBERTv2,Consistency,0.1,10,46,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.785,0.7108763822462261,0.5644834571235652,0.003007855974295315,0.10005622123054218,0.89
AraBERTv2,Consistency,0.2,20,42,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7806666666666666,0.7021905738941525,0.5493150684931507,0.011693664326368869,0.20028813380652868,0.957
