Dimension,Severity,Seed,Eligible_Units,Changed_Units,Realized_Rate,Changed_Instances,Changed_Instance_Rate
Textual Accuracy,0.1,42,39522,3939,0.0996660088052224,2468,0.8226666666666667
Textual Accuracy,0.1,43,39522,3963,0.10027326552299985,2477,0.8256666666666667
Textual Accuracy,0.1,44,39522,3918,0.09913465917716714,2470,0.8233333333333334
Textual Accuracy,0.1,45,39522,3976,0.1006021962451293,2488,0.8293333333333334
Textual Accuracy,0.1,46,39522,3936,0.09959010171550023,2450,0.8166666666666667
Textual Accuracy,0.2,42,39522,7907,0.20006578614442588,2769,0.923
Textual Accuracy,0.2,43,39522,7910,0.20014169323414807,2780,0.9266666666666666
Textual Accuracy,0.2,44,39522,7908,0.2000910885076666,2768,0.9226666666666666
Textual Accuracy,0.2,45,39522,7913,0.20021760032387026,2780,0.9266666666666666
Textual Accuracy,0.2,46,39522,7882,0.19943322706340771,2754,0.918
Textual Accuracy,0.3,42,39522,11875,0.30046556348362935,2883,0.961
Textual Accuracy,0.3,43,39522,11862,0.30013663276149993,2869,0.9563333333333334
Textual Accuracy,0.3,44,39522,11873,0.3004149587571479,2876,0.9586666666666667
Textual Accuracy,0.3,45,39522,11828,0.2992763524113152,2864,0.9546666666666667
Textual Accuracy,0.3,46,39522,11868,0.3002884469409443,2870,0.9566666666666667
Completeness,0.1,42,50556,5092,0.10071999367038531,2648,0.8826666666666667
Completeness,0.1,43,50556,5072,0.10032439275259118,2632,0.8773333333333333
Completeness,0.1,44,50556,5030,0.09949363082522351,2601,0.867
Completeness,0.1,45,50556,5020,0.09929583036632644,2621,0.8736666666666667
Completeness,0.1,46,50556,5061,0.10010681224780442,2610,0.87
Completeness,0.2,42,50556,10099,0.19975868344014558,2854,0.9513333333333334
Completeness,0.2,43,50556,10122,0.20021362449560884,2882,0.9606666666666667
Completeness,0.2,44,50556,10117,0.2001147242661603,2867,0.9556666666666667
Completeness,0.2,45,50556,10091,0.19960044307302793,2850,0.95
Completeness,0.2,46,50556,10127,0.20031252472505737,2858,0.9526666666666667
Completeness,0.3,42,50556,15155,0.2997665954585015,2929,0.9763333333333334
Completeness,0.3,43,50556,15174,0.3001424163304059,2939,0.9796666666666667
Completeness,0.3,44,50556,15168,0.30002373605506766,2935,0.9783333333333334
Completeness,0.3,45,50556,15185,0.30035999683519266,2914,0.9713333333333334
Completeness,0.3,46,50556,15151,0.29968747527494266,2925,0.975
Consistency,0.1,42,56918,5706,0.10024948171053094,2661,0.887
Consistency,0.1,43,56918,5656,0.09937102498330933,2655,0.885
Consistency,0.1,44,56918,5727,0.10061843353596402,2684,0.8946666666666667
Consistency,0.1,45,56918,5685,0.09988052988509787,2657,0.8856666666666667
Consistency,0.1,46,56918,5695,0.10005622123054218,2670,0.89
Consistency,0.2,42,56918,11400,0.20028813380652868,2871,0.957
Consistency,0.2,43,56918,11391,0.2001300115956288,2876,0.9586666666666667
Consistency,0.2,44,56918,11387,0.20005973505745106,2855,0.9516666666666667
Consistency,0.2,45,56918,11383,0.19998945851927333,2859,0.953
Consistency,0.2,46,56918,11340,0.19923398573386275,2851,0.9503333333333334
Consistency,0.3,42,56918,17073,0.29995783407709337,2926,0.9753333333333334
Consistency,0.3,43,56918,17076,0.30001054148072664,2916,0.972
Consistency,0.3,44,56918,17118,0.3007484451315928,2923,0.9743333333333334
Consistency,0.3,45,56918,17073,0.29995783407709337,2916,0.972
Consistency,0.3,46,56918,17073,0.29995783407709337,2921,0.9736666666666667
Validity,0.1,42,50556,5095,0.10077933380805444,2644,0.8813333333333333
Validity,0.1,43,50556,5072,0.10032439275259118,2633,0.8776666666666667
Validity,0.1,44,50556,5055,0.09998813197246617,2635,0.8783333333333333
Validity,0.1,45,50556,5052,0.09992879183479705,2625,0.875
Validity,0.1,46,50556,5084,0.10056175330326766,2618,0.8726666666666667
Validity,0.2,42,50556,10102,0.1998180235778147,2875,0.9583333333333334
Validity,0.2,43,50556,10117,0.2001147242661603,2867,0.9556666666666667
Validity,0.2,44,50556,10069,0.19916528206345438,2861,0.9536666666666667
Validity,0.2,45,50556,10103,0.1998378036237044,2867,0.9556666666666667
Validity,0.2,46,50556,10080,0.19938286256824117,2855,0.9516666666666667
Validity,0.3,42,50556,15175,0.3001621963762956,2932,0.9773333333333334
Validity,0.3,43,50556,15146,0.29958857504549413,2932,0.9773333333333334
Validity,0.3,44,50556,15173,0.3001226362845162,2938,0.9793333333333333
Validity,0.3,45,50556,15198,0.30061713743175883,2940,0.98
Validity,0.3,46,50556,15169,0.30004351610095736,2931,0.977
Understandability,0.1,42,50556,5088,0.10064087348682649,2151,0.717
Understandability,0.1,43,50556,4992,0.09874198908141467,2105,0.7016666666666667
Understandability,0.1,44,50556,5098,0.10083867394572356,2143,0.7143333333333334
Understandability,0.1,45,50556,5026,0.09941451064166469,2126,0.7086666666666667
Understandability,0.1,46,50556,5060,0.10008703220191471,2139,0.713
Understandability,0.2,42,50556,10102,0.1998180235778147,2630,0.8766666666666667
Understandability,0.2,43,50556,10076,0.19930374238468232,2606,0.8686666666666667
Understandability,0.2,44,50556,10144,0.20064878550518236,2637,0.879
Understandability,0.2,45,50556,10091,0.19960044307302793,2623,0.8743333333333333
Understandability,0.2,46,50556,10136,0.20049054513806472,2622,0.874
Understandability,0.3,42,50556,15138,0.29943033467837643,2762,0.9206666666666666
Understandability,0.3,43,50556,15156,0.2997863755043912,2782,0.9273333333333333
Understandability,0.3,44,50556,15136,0.299390774586597,2777,0.9256666666666666
Understandability,0.3,45,50556,15124,0.29915341403592055,2781,0.927
Understandability,0.3,46,50556,15155,0.2997665954585015,2787,0.929
