Model,Dimension,Severity,Severity_Percent,Perturbation_Seed,Clean_Accuracy,Clean_Macro_F1,Perturbed_Accuracy,Perturbed_Macro_F1,Delta_F1,Realized_Rate,Changed_Instance_Rate
AraBERTv2,Textual Accuracy,0.1,10,42,0.6742857142857143,0.5960884353741497,0.6571428571428571,0.5824883693188596,0.013600066055290072,0.09844408899229315,0.4685714285714286
AraBERTv2,Textual Accuracy,0.1,10,43,0.6742857142857143,0.5960884353741497,0.6685714285714286,0.595210321139792,0.0008781142343576853,0.10135233386651156,0.47785714285714287
AraBERTv2,Textual Accuracy,0.1,10,44,0.6742857142857143,0.5960884353741497,0.6535714285714286,0.5778284715214528,0.018259963852696903,0.10047986040424604,0.47785714285714287
AraBERTv2,Textual Accuracy,0.1,10,45,0.6742857142857143,0.5960884353741497,0.6571428571428571,0.5837091514604871,0.012379283913662609,0.10251563181619892,0.48142857142857143
AraBERTv2,Textual Accuracy,0.1,10,46,0.6742857142857143,0.5960884353741497,0.6642857142857143,0.5875084002848574,0.008580035089292282,0.10396975425330812,0.49
AraBERTv2,Textual Accuracy,0.2,20,42,0.6742857142857143,0.5960884353741497,0.6592857142857143,0.5860091167264592,0.010079318647690516,0.20415879017013233,0.7964285714285714
AraBERTv2,Textual Accuracy,0.2,20,43,0.6742857142857143,0.5960884353741497,0.6628571428571428,0.590647332269479,0.005441103104670719,0.1976152392031409,0.775
AraBERTv2,Textual Accuracy,0.2,20,44,0.6742857142857143,0.5960884353741497,0.6457142857142857,0.5698327898425033,0.026255645531646388,0.19848771266540643,0.78
AraBERTv2,Textual Accuracy,0.2,20,45,0.6742857142857143,0.5960884353741497,0.6414285714285715,0.5701791939330927,0.025909241441056996,0.2031409044641559,0.7921428571428571
AraBERTv2,Textual Accuracy,0.2,20,46,0.6742857142857143,0.5960884353741497,0.665,0.5868150843328914,0.00927335104125826,0.19936018612767195,0.7785714285714286
AraBERTv2,Textual Accuracy,0.3,30,42,0.6742857142857143,0.5960884353741497,0.6457142857142857,0.5735230533390983,0.02256538203505143,0.29998545877562893,0.9
AraBERTv2,Textual Accuracy,0.3,30,43,0.6742857142857143,0.5960884353741497,0.6314285714285715,0.5629986135005844,0.03308982187356524,0.297949687363676,0.8878571428571429
AraBERTv2,Textual Accuracy,0.3,30,44,0.6742857142857143,0.5960884353741497,0.6478571428571429,0.5739798075563958,0.022108627817753912,0.2983859240948088,0.9057142857142857
AraBERTv2,Textual Accuracy,0.3,30,45,0.6742857142857143,0.5960884353741497,0.6385714285714286,0.5685496837817559,0.02753875159239383,0.297949687363676,0.8957142857142857
AraBERTv2,Textual Accuracy,0.3,30,46,0.6742857142857143,0.5960884353741497,0.65,0.5786820486616092,0.017406386712540467,0.3010033444816054,0.8971428571428571
AraBERTv2,Completeness,0.1,10,42,0.6742857142857143,0.5960884353741497,0.6592857142857143,0.5854025438329095,0.010685891541240222,0.09801089009889988,0.585
AraBERTv2,Completeness,0.1,10,43,0.6742857142857143,0.5960884353741497,0.6692857142857143,0.5963822599978207,-0.0002938246236710018,0.09934437159684409,0.5935714285714285
AraBERTv2,Completeness,0.1,10,44,0.6742857142857143,0.5960884353741497,0.6685714285714286,0.594,0.002088435374149711,0.10056672963662629,0.5957142857142858
AraBERTv2,Completeness,0.1,10,45,0.6742857142857143,0.5960884353741497,0.6635714285714286,0.5881836049110698,0.007904830463079882,0.09878875430603401,0.585
AraBERTv2,Completeness,0.1,10,46,0.6742857142857143,0.5960884353741497,0.6685714285714286,0.5933890670732775,0.0026993683008721403,0.10312256917435271,0.6142857142857143
AraBERTv2,Completeness,0.2,20,42,0.6742857142857143,0.5960884353741497,0.655,0.5838151996696126,0.012273235704537089,0.20024447160795644,0.8957142857142857
AraBERTv2,Completeness,0.2,20,43,0.6742857142857143,0.5960884353741497,0.6678571428571428,0.5934296736383173,0.002658761735832349,0.1987998666518502,0.8807142857142857
AraBERTv2,Completeness,0.2,20,44,0.6742857142857143,0.5960884353741497,0.6664285714285715,0.5946881708831371,0.0014002644910126039,0.2050227803089232,0.9064285714285715
AraBERTv2,Completeness,0.2,20,45,0.6742857142857143,0.5960884353741497,0.6485714285714286,0.5757575757575757,0.020330859616573993,0.19891099011001223,0.895
AraBERTv2,Completeness,0.2,20,46,0.6742857142857143,0.5960884353741497,0.6442857142857142,0.5747857461741696,0.02130268919998013,0.1994666074008223,0.8892857142857142
AraBERTv2,Completeness,0.3,30,42,0.6742857142857143,0.5960884353741497,0.6657142857142857,0.592926160085888,0.003162275288261629,0.30258917657517503,0.975
AraBERTv2,Completeness,0.3,30,43,0.6742857142857143,0.5960884353741497,0.6507142857142857,0.5780426875833236,0.018045747790826128,0.30036670741193466,0.975
AraBERTv2,Completeness,0.3,30,44,0.6742857142857143,0.5960884353741497,0.6578571428571428,0.5836641897190012,0.012424245655148436,0.2994777197466385,0.9664285714285714
AraBERTv2,Completeness,0.3,30,45,0.6742857142857143,0.5960884353741497,0.6535714285714286,0.5790658734011167,0.01702256197303298,0.3001444604956106,0.9721428571428572
AraBERTv2,Completeness,0.3,30,46,0.6742857142857143,0.5960884353741497,0.6492857142857142,0.5793040094641297,0.01678442591001994,0.2994777197466385,0.97
