Dimension,Severity,Seed,Eligible_Units,Changed_Units,Realized_Rate,Changed_Instances,Changed_Instance_Rate
Textual Accuracy,0.1,42,6877,677,0.09844408899229315,656,0.4685714285714286
Textual Accuracy,0.1,43,6877,697,0.10135233386651156,669,0.47785714285714287
Textual Accuracy,0.1,44,6877,691,0.10047986040424604,669,0.47785714285714287
Textual Accuracy,0.1,45,6877,705,0.10251563181619892,674,0.48142857142857143
Textual Accuracy,0.1,46,6877,715,0.10396975425330812,686,0.49
Textual Accuracy,0.2,42,6877,1404,0.20415879017013233,1115,0.7964285714285714
Textual Accuracy,0.2,43,6877,1359,0.1976152392031409,1085,0.775
Textual Accuracy,0.2,44,6877,1365,0.19848771266540643,1092,0.78
Textual Accuracy,0.2,45,6877,1397,0.2031409044641559,1109,0.7921428571428571
Textual Accuracy,0.2,46,6877,1371,0.19936018612767195,1090,0.7785714285714286
Textual Accuracy,0.3,42,6877,2063,0.29998545877562893,1260,0.9
Textual Accuracy,0.3,43,6877,2049,0.297949687363676,1243,0.8878571428571429
Textual Accuracy,0.3,44,6877,2052,0.2983859240948088,1268,0.9057142857142857
Textual Accuracy,0.3,45,6877,2049,0.297949687363676,1254,0.8957142857142857
Textual Accuracy,0.3,46,6877,2070,0.3010033444816054,1256,0.8971428571428571
Completeness,0.1,42,8999,882,0.09801089009889988,819,0.585
Completeness,0.1,43,8999,894,0.09934437159684409,831,0.5935714285714285
Completeness,0.1,44,8999,905,0.10056672963662629,834,0.5957142857142858
Completeness,0.1,45,8999,889,0.09878875430603401,819,0.585
Completeness,0.1,46,8999,928,0.10312256917435271,860,0.6142857142857143
Completeness,0.2,42,8999,1802,0.20024447160795644,1254,0.8957142857142857
Completeness,0.2,43,8999,1789,0.1987998666518502,1233,0.8807142857142857
Completeness,0.2,44,8999,1845,0.2050227803089232,1269,0.9064285714285715
Completeness,0.2,45,8999,1790,0.19891099011001223,1253,0.895
Completeness,0.2,46,8999,1795,0.1994666074008223,1245,0.8892857142857142
Completeness,0.3,42,8999,2723,0.30258917657517503,1365,0.975
Completeness,0.3,43,8999,2703,0.30036670741193466,1365,0.975
Completeness,0.3,44,8999,2695,0.2994777197466385,1353,0.9664285714285714
Completeness,0.3,45,8999,2701,0.3001444604956106,1361,0.9721428571428572
Completeness,0.3,46,8999,2695,0.2994777197466385,1358,0.97
Consistency,0.1,42,9244,926,0.1001730852444829,832,0.5942857142857143
Consistency,0.1,43,9244,919,0.09941583729987019,835,0.5964285714285714
Consistency,0.1,44,9244,898,0.09714409346603202,814,0.5814285714285714
Consistency,0.1,45,9244,922,0.09974037213327563,826,0.59
Consistency,0.1,46,9244,943,0.1020121159671138,854,0.61
Consistency,0.2,42,9244,1821,0.19699264387710946,1176,0.84
Consistency,0.2,43,9244,1850,0.20012981393336218,1197,0.855
Consistency,0.2,44,9244,1858,0.20099524015577672,1200,0.8571428571428571
Consistency,0.2,45,9244,1862,0.20142795326698398,1206,0.8614285714285714
Consistency,0.2,46,9244,1848,0.19991345737775854,1185,0.8464285714285714
Consistency,0.3,42,9244,2754,0.29792297706620513,1281,0.915
