Dimension,Severity_Percent,Mean_Delta_F1,Mean_Macro_F1
Completeness,10,1.0477560282297578,53.61143542674733
Completeness,20,1.9199941281724298,52.73919732680465
Completeness,30,2.874325710092503,51.78486574488458
Consistency,10,-1.0373831965056342,55.69657465148272
Consistency,20,-1.5420633234482413,56.20125477842532
Consistency,30,-1.5929702072356593,56.25216166221274
Textual Accuracy,10,0.711167972702349,53.948023482274735
Textual Accuracy,20,0.7931455049056108,53.866045950071474
Textual Accuracy,30,1.4132285035619085,53.245962951415166
Understandability,10,0.053907263583392595,54.60528419139369
Understandability,20,-0.10881188270950526,54.768003337686594
Understandability,30,0.1982311154065569,54.46096033957052
Validity,10,-2.170556450880425,56.82974790585751
Validity,20,-1.2482517748526694,55.90744322982975
Validity,30,0.9275822960725831,53.7316091589045
