Dimension,Severity,Realized_Rate_Mean,Realized_Rate_SD,Changed_Instance_Rate_Mean,Nominal_Severity
Completeness,0.1,9.996666296255139,0.19949678488731054,59.471428571428575,10.0
Completeness,0.2,20.048894321591288,0.2598246106297345,89.34285714285714,20.0
Completeness,0.3,30.041115679519947,0.12805743118913449,97.17142857142858,30.0
Consistency,0.1,9.96971008221549,0.17453283664857794,59.44285714285714,10.0
Consistency,0.2,19.989182172219817,0.1734904387427919,85.2,20.0
Consistency,0.3,29.991345737775855,0.13262321554544962,92.32857142857142,30.0
Textual Accuracy,0.1,10.135233386651157,0.20870583240376991,47.91428571428572,10.0
Textual Accuracy,0.2,20.05525665261015,0.2916231580959233,78.44285714285715,20.0
Textual Accuracy,0.3,29.905482041587906,0.1374126468509831,89.72857142857143,30.0
Understandability,0.1,10.00777864207134,0.7672187597848651,31.85714285714286,10.0
Understandability,0.2,20.020002222469163,0.29532509429998394,59.62857142857143,20.0
Understandability,0.3,30.04556061784643,0.2985273328494283,78.72857142857143,30.0
Validity,0.1,10.0055561729081,0.16790309587295058,59.842857142857156,10.0
Validity,0.2,20.033337037448607,0.16282525627798833,90.0,20.0
Validity,0.3,30.063340371152353,0.09082261025314795,97.44285714285714,30.0
