Dimension,Severity,Seed,Eligible_Units,Changed_Units,Realized_Rate,Changed_Instances,Changed_Instance_Rate
Textual Accuracy,0.1,42,65461,6560,0.10021234017201082,3595,0.9089759797724399
Textual Accuracy,0.1,43,65461,6484,0.09905134354806679,3584,0.9061946902654867
Textual Accuracy,0.1,44,65461,6531,0.09976932830234796,3604,0.9112515802781289
Textual Accuracy,0.1,45,65461,6532,0.09978460457371564,3593,0.9084702907711757
Textual Accuracy,0.1,46,65461,6538,0.09987626220192175,3615,0.9140328697850821
Textual Accuracy,0.2,42,65461,13137,0.20068437695727226,3891,0.9838179519595449
Textual Accuracy,0.2,43,65461,13061,0.19952338033332825,3894,0.9845764854614412
Textual Accuracy,0.2,44,65461,13098,0.20008860237393258,3902,0.9865992414664981
Textual Accuracy,0.2,45,65461,13041,0.19921785490597455,3888,0.9830594184576485
Textual Accuracy,0.2,46,65461,13053,0.19940117016238676,3897,0.9853350189633375
Textual Accuracy,0.3,42,65461,19682,0.3006675730587678,3932,0.9941845764854614
Textual Accuracy,0.3,43,65461,19650,0.3001787323750019,3927,0.9929203539823008
Textual Accuracy,0.3,44,65461,19659,0.3003162188173111,3938,0.9957016434892542
Textual Accuracy,0.3,45,65461,19687,0.30074395441560625,3937,0.995448798988622
Textual Accuracy,0.3,46,65461,19675,0.300560639159194,3936,0.9951959544879899
Completeness,0.1,42,83905,8401,0.1001251415291103,3789,0.9580278128950696
Completeness,0.1,43,83905,8387,0.09995828615696323,3784,0.956763590391909
Completeness,0.1,44,83905,8382,0.09989869495262499,3771,0.9534766118836915
Completeness,0.1,45,83905,8398,0.10008938680650736,3791,0.9585335018963338
Completeness,0.1,46,83905,8391,0.10000595912043382,3789,0.9580278128950696
Completeness,0.2,42,83905,16790,0.20010726416780883,3929,0.9934260429835651
Completeness,0.2,43,83905,16794,0.20015493713127944,3934,0.9946902654867257
Completeness,0.2,44,83905,16773,0.19990465407305882,3929,0.9934260429835651
Completeness,0.2,45,83905,16736,0.19946367916095584,3931,0.9939317319848293
Completeness,0.2,46,83905,16781,0.2,3937,0.995448798988622
Completeness,0.3,42,83905,25193,0.30025624217865443,3951,0.9989886219974715
Completeness,0.3,43,83905,25154,0.2997914307848162,3951,0.9989886219974715
Completeness,0.3,44,83905,25142,0.2996484118944044,3948,0.9982300884955753
Completeness,0.3,45,83905,25124,0.2994338835587867,3946,0.997724399494311
Completeness,0.3,46,83905,25185,0.30016089625171327,3952,0.9992414664981036
Consistency,0.1,42,97753,9790,0.10015037901650077,3804,0.9618204804045511
Consistency,0.1,43,97753,9765,0.09989463238979877,3801,0.9610619469026549
Consistency,0.1,44,97753,9757,0.09981279346925415,3793,0.9590391908975979
Consistency,0.1,45,97753,9772,0.09996624144527534,3789,0.9580278128950696
Consistency,0.1,46,97753,9802,0.10027313739731773,3812,0.9638432364096081
Consistency,0.2,42,97753,19576,0.20025983857272922,3918,0.9906447534766119
Consistency,0.2,43,97753,19574,0.20023937884259307,3907,0.9878634639696586
Consistency,0.2,44,97753,19515,0.19963581680357637,3920,0.9911504424778761
Consistency,0.2,45,97753,19571,0.20020868924738883,3919,0.990897597977244
Consistency,0.2,46,97753,19570,0.20019845938232075,3911,0.9888748419721871
Consistency,0.3,42,97753,29345,0.3001953904228003,3931,0.9939317319848293
Consistency,0.3,43,97753,29323,0.2999703333913026,3935,0.9949431099873578
Consistency,0.3,44,97753,29297,0.2997043568995325,3936,0.9951959544879899
Consistency,0.3,45,97753,29331,0.3000521723118472,3930,0.9936788874841972
Consistency,0.3,46,97753,29310,0.29983734514541754,3934,0.9946902654867257
Validity,0.1,42,83905,8418,0.10032775162386032,3789,0.9580278128950696
Validity,0.1,43,83905,8388,0.09997020439783089,3786,0.9572692793931732
Validity,0.1,44,83905,8395,0.10005363208390441,3791,0.9585335018963338
Validity,0.1,45,83905,8385,0.09993444967522794,3777,0.9549936788874842
Validity,0.1,46,83905,8391,0.10000595912043382,3783,0.9565107458912768
Validity,0.2,42,83905,16740,0.19951135212442644,3936,0.9951959544879899
Validity,0.2,43,83905,16802,0.2002502830582206,3930,0.9936788874841972
Validity,0.2,44,83905,16806,0.2002979560216912,3934,0.9946902654867257
Validity,0.2,45,83905,16777,0.1999523270365294,3932,0.9941845764854614
Validity,0.2,46,83905,16770,0.19986889935045588,3931,0.9939317319848293
Validity,0.3,42,83905,25177,0.30006555032477206,3950,0.9987357774968394
Validity,0.3,43,83905,25151,0.2997556760622132,3951,0.9989886219974715
Validity,0.3,44,83905,25138,0.2996007389309338,3951,0.9989886219974715
Validity,0.3,45,83905,25159,0.2998510219891544,3951,0.9989886219974715
Validity,0.3,46,83905,25189,0.30020856921518385,3950,0.9987357774968394
Understandability,0.1,42,83905,7651,0.09118646087837436,3066,0.7752212389380531
Understandability,0.1,43,83905,7628,0.09091234133841845,3072,0.7767383059418458
Understandability,0.1,44,83905,7702,0.0917942911626244,3115,0.7876106194690266
Understandability,0.1,45,83905,7702,0.0917942911626244,3116,0.7878634639696587
Understandability,0.1,46,83905,7731,0.09213992014778619,3124,0.7898862199747155
Understandability,0.2,42,83905,14324,0.17071688218818903,3781,0.9560050568900127
Understandability,0.2,43,83905,14266,0.17002562421786543,3773,0.9539823008849557
Understandability,0.2,44,83905,14294,0.17035933496215958,3779,0.9554993678887485
Understandability,0.2,45,83905,14375,0.17132471247243908,3797,0.9600505689001264
Understandability,0.2,46,83905,14353,0.1710625111733508,3787,0.9575221238938053
Understandability,0.3,42,83905,21848,0.2603897264763721,3895,0.9848293299620733
Understandability,0.3,43,83905,21744,0.2591502294261367,3886,0.9825537294563843
Understandability,0.3,44,83905,21844,0.2603420535129015,3891,0.9838179519595449
Understandability,0.3,45,83905,21792,0.2597223049877838,3898,0.9855878634639696
Understandability,0.3,46,83905,21814,0.25998450628687203,3905,0.9873577749683944
