Dimension,Severity_Percent,Mean_Macro_F1,Mean_Delta_F1
Completeness,10,64.09735191014938,0.6410524680828292
Completeness,20,62.39797859424427,2.340425783987943
Completeness,30,60.86065383031693,3.877750547915277
Consistency,10,64.14948511339297,0.5889192648392524
Consistency,20,63.54613585535651,1.1922685228757006
Consistency,30,62.67978453608253,2.0586198421496795
Textual Accuracy,10,63.49630443353353,1.242099944698692
Textual Accuracy,20,62.19303285922761,2.5453715190046
Textual Accuracy,30,60.360583929995734,4.377820448236479
Understandability,10,64.26376761084883,0.47463676738337846
Understandability,20,63.74071973387242,0.9976846443597952
Understandability,30,63.08793810236881,1.6504662758634048
Validity,10,63.96848888385565,0.7699154943765704
Validity,20,62.848724476786934,1.8896799014452828
Validity,30,61.28193580599563,3.4564685722365844
