Model,Dimension,Mean_Delta_F1
AraBERTv2,Textual Accuracy,2.289876122381308
AraBERTv2,Completeness,2.134447220886505
AraBERTv2,Validity,1.6983230342753621
AraBERTv2,Understandability,0.9001986571016333
AraBERTv2,Consistency,0.8119404366245778
CAMeLBERT-Mix,Textual Accuracy,2.6497165050950398
CAMeLBERT-Mix,Completeness,1.8080793291685193
CAMeLBERT-Mix,Validity,1.598258120213919
CAMeLBERT-Mix,Consistency,1.1800456904463912
CAMeLBERT-Mix,Understandability,0.3091015751169783
XLM-R,Textual Accuracy,3.2256992844634227
XLM-R,Completeness,2.916702249931026
XLM-R,Validity,2.8194828135691563
XLM-R,Understandability,1.913487455387967
XLM-R,Consistency,1.8478215027936635
