Dimension,Severity,Realized_Rate_Mean,Realized_Rate_SD,Changed_Instance_Rate_Mean,Nominal_Severity
Completeness,0.1,10.001549371312795,0.009285525859380053,95.69658659924146,10.0
Completeness,0.2,19.992610690662058,0.027610734247582324,99.41845764854614,20.0
Completeness,0.3,29.9858172933675,0.03458960149943466,99.86346396965867,30.0
Consistency,0.1,10.001943674362934,0.01888234690479382,96.07585335018965,10.0
Consistency,0.2,20.010843656972167,0.026532649455828634,98.98862199747155,20.0
Consistency,0.3,29.995191963418005,0.01897908795250363,99.44879898862199,30.0
Textual Accuracy,0.1,9.973877575961259,0.04238993270958794,90.97850821744628,10.0
Textual Accuracy,0.2,19.978307694657886,0.05996787835929962,98.4677623261694,20.0
Textual Accuracy,0.3,30.049342356517624,0.023876963639345414,99.46902654867257,30.0
Understandability,0.1,9.156546093796555,0.05012325267940255,78.34639696586599,10.0
Understandability,0.2,17.06978130028008,0.05226797492384445,95.66118836915297,20.0
Understandability,0.3,25.991776413801322,0.05085612672654007,98.48293299620734,30.0
Validity,0.1,10.005839938025147,0.01568958439546056,95.70670037926675,10.0
Validity,0.2,19.99761635182647,0.031891039056693285,99.43362831858407,20.0
Validity,0.3,29.989631130445147,0.024255889503395873,99.88874841972188,30.0
