Model,Dimension,Macro_F1_Mean,Delta_F1_Mean
AraBERTv2,Textual Accuracy,62.78991335312747,4.173079554551795
AraBERTv2,Completeness,63.125774623872424,3.8372182838068354
AraBERTv2,Validity,63.88093190586505,3.082061001814218
AraBERTv2,Understandability,64.87998253207346,2.083010375605807
AraBERTv2,Consistency,65.48159706063042,1.481395847048832
CAMeLBERT-Mix,Textual Accuracy,59.9773289035858,4.88615085795215
CAMeLBERT-Mix,Completeness,61.53316721775788,3.3303125437800785
CAMeLBERT-Mix,Validity,61.677383171766095,3.1860965897718656
CAMeLBERT-Mix,Consistency,62.68194781437016,2.1815319471677874
CAMeLBERT-Mix,Understandability,64.50408465356632,0.35939510797164065
XLM-R,Completeness,57.923019649320494,4.4657208161589175
XLM-R,Validity,58.287492340355755,4.101248125123669
XLM-R,Textual Accuracy,58.31450953327393,4.0742309322054915
XLM-R,Consistency,59.875808733247005,2.5129317322324196
XLM-R,Understandability,59.87974712146665,2.5089933440127665
