Dimension,Severity,Seed,Eligible_Units,Changed_Units,Realized_Rate,Changed_Instances,Changed_Instance_Rate
Textual Accuracy,0.1,42,23104,2332,0.1009349030470914,1707,0.8530734632683659
Textual Accuracy,0.1,43,23104,2285,0.09890062326869806,1690,0.8445777111444278
Textual Accuracy,0.1,44,23104,2290,0.09911703601108034,1692,0.8455772113943029
Textual Accuracy,0.1,45,23104,2310,0.09998268698060941,1696,0.847576211894053
Textual Accuracy,0.1,46,23104,2309,0.09993940443213296,1705,0.8520739630184908
Textual Accuracy,0.2,42,23104,4658,0.2016101108033241,1926,0.9625187406296851
Textual Accuracy,0.2,43,23104,4634,0.2005713296398892,1919,0.9590204897551224
Textual Accuracy,0.2,44,23104,4618,0.19987880886426593,1918,0.9585207396301849
Textual Accuracy,0.2,45,23104,4583,0.19836391966759004,1912,0.9555222388805598
Textual Accuracy,0.2,46,23104,4598,0.19901315789473684,1918,0.9585207396301849
Textual Accuracy,0.3,42,23104,6919,0.29947195290858725,1957,0.9780109945027486
Textual Accuracy,0.3,43,23104,6972,0.30176592797783935,1961,0.9800099950024987
Textual Accuracy,0.3,44,23104,6931,0.2999913434903047,1955,0.9770114942528736
Textual Accuracy,0.3,45,23104,6923,0.29964508310249305,1959,0.9790104947526237
Textual Accuracy,0.3,46,23104,6927,0.2998182132963989,1953,0.9760119940029985
Completeness,0.1,42,28107,2815,0.10015298680044117,1805,0.9020489755122438
Completeness,0.1,43,28107,2804,0.09976162521791725,1792,0.895552223888056
Completeness,0.1,44,28107,2823,0.10043761340591312,1807,0.9030484757621189
Completeness,0.1,45,28107,2808,0.09990393852065321,1795,0.8970514742628686
Completeness,0.1,46,28107,2818,0.10025972177749315,1813,0.9060469765117442
Completeness,0.2,42,28107,5629,0.20027039527519835,1954,0.9765117441279361
Completeness,0.2,43,28107,5615,0.19977229871562244,1951,0.9750124937531235
Completeness,0.2,44,28107,5605,0.1994165154587825,1963,0.9810094952523738
Completeness,0.2,45,28107,5613,0.19970114206425446,1956,0.9775112443778111
Completeness,0.2,46,28107,5606,0.19945209378446652,1948,0.9735132433783108
Completeness,0.3,42,28107,8428,0.29985412886469565,1980,0.9895052473763118
Completeness,0.3,43,28107,8407,0.29910698402533176,1983,0.9910044977511244
Completeness,0.3,44,28107,8438,0.3002099121215356,1980,0.9895052473763118
Completeness,0.3,45,28107,8430,0.2999252855160636,1985,0.9920039980009995
Completeness,0.3,46,28107,8461,0.3010282136122674,1975,0.9870064967516242
Consistency,0.1,42,33932,3402,0.10025934221383945,1845,0.9220389805097451
Consistency,0.1,43,33932,3402,0.10025934221383945,1841,0.920039980009995
Consistency,0.1,44,33932,3398,0.10014145938936697,1840,0.9195402298850575
Consistency,0.1,45,33932,3378,0.09955204526700459,1828,0.9135432283858071
Consistency,0.1,46,33932,3420,0.10078981492396558,1854,0.9265367316341829
Consistency,0.2,42,33932,6810,0.2006955086643876,1963,0.9810094952523738
Consistency,0.2,43,33932,6799,0.2003713308970883,1956,0.9775112443778111
Consistency,0.2,44,33932,6803,0.20048921372156076,1958,0.9785107446276862
Consistency,0.2,45,33932,6804,0.2005186844276789,1967,0.9830084957521239
Consistency,0.2,46,33932,6788,0.200047153129789,1967,0.9830084957521239
