Dimension,Severity,Realized_Rate_Mean,Realized_Rate_SD,Changed_Instance_Rate_Mean
Completeness,10.0,10.010317714448359,0.027165630154511032,90.07496251874063
Completeness,20.0,19.972248905966485,0.034273581894311636,97.67116441779112
Completeness,30.0,30.002490482797878,0.06932754236545774,98.98050974512745
Consistency,10.0,10.020040080160323,0.04410771409612137,92.03398300849574
Consistency,20.0,20.04243781681009,0.02406874571389318,98.06096951524236
Consistency,30.0,29.98231757632913,0.08793438455775753,98.99050474762619
Textual Accuracy,10.0,9.977493074792243,0.08082371299392334,84.8575712143928
Textual Accuracy,20.0,19.988746537396125,0.12767984994026987,95.88205897051473
Textual Accuracy,30.0,30.013850415512465,0.09301217250491296,97.80109945027486
Understandability,10.0,9.816771622727433,0.08863931251629996,67.856071964018
Understandability,20.0,16.796527555413242,0.07725495695239094,89.82508745627186
Understandability,30.0,24.93969473796563,0.08595682251994993,95.65217391304348
Validity,10.0,9.969758423168605,0.07669584604226841,90.01499250374813
Validity,20.0,20.036289892197672,0.04940137320300193,97.89105447276363
Validity,30.0,29.94200732913509,0.08447136725560037,98.99050474762619
